URL,Title,Price_Raw,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État
https://www.avito.ma/fr/californie/voitures_d_occasion/Tiguan_automatique_diesel_4motion_56539898.htm,Tiguan automatique diesel 4motion,380 000 DH,2022,Automatique,Diesel,50000,Volkswagen,Tiguan,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/2_mars/voitures_d_occasion/Audi_Q3_s_Line_56568344.htm,Audi Q3 s Line,Demander le prix,2020,Automatique,Diesel,75000,Audi,Q3,3,Dédouanée,Oui,8 CV,Excellent
https://www.avito.ma/fr/2_mars/voitures_d_occasion/Porsche_Cayenne_Hybride_Automatique_2021_57159945.htm,Porsche Cayenne Hybride Automatique 2021,Demander le prix,2021,Automatique,Hybride,75000,Porsche,Cayenne,,Importée neuve,,23 CV,Très bon
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Jeep_Sahara_automatique_56870147.htm,Jeep Sahara automatique,Demander le prix,2018,Automatique,Diesel,130000,Jeep,Wrangler,5,WW au Maroc,Oui,11 CV,Très bon
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Toyota_land_cruiser_56989938.htm,Toyota land cruiser,255 000 DH,2019,Manuelle,Diesel,170000,Toyota,Land Cruiser,5,WW au Maroc,Oui,12 CV,Très bon
https://www.avito.ma/fr/saniat_rmal/voitures_d_occasion/AUDI_RSQ3_gris_NARDO_400_CV_51670493.htm,AUDI RSQ3 gris NARDO 400 CV,Demander le prix,2021,Automatique,Essence,80000,Audi,Q3,5,Importée neuve,Oui,11 CV,Excellent
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Porsche_Cayenne_Platinium_56738027.htm,Porsche Cayenne Platinium,Demander le prix,2017,Automatique,Diesel,162000,Porsche,Cayenne,5,WW au Maroc,,12 CV,Très bon
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/PORSCHE_macan_S_M2015_56387746.htm,PORSCHE macan S M2015,Demander le prix,2015,Automatique,Diesel,200000,Porsche,Macan,5,WW au Maroc,Non,12 CV,Excellent
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Toyota_Corolla_Hybride_Automatique_2022_57109475.htm,Toyota Corolla Hybride Automatique 2022,207 000 DH,2022,Automatique,Hybride,95000,Toyota,Corolla,5,WW au Maroc,Oui,10 CV,Très bon
https://www.avito.ma/fr/centre/voitures_d_occasion/Vente_Nissan_Qashqai_57258333.htm,Vente Nissan Qashqai,155 000 DH,2015,Automatique,Diesel,235000,Nissan,Qashqai,5,WW au Maroc,Non,6 CV,Très bon
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Sandero_bon_%C3%A9tat_57284546.htm,Sandero bon état,78 000 DH,2010,Manuelle,Diesel,190000,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/HYUNDAI_ACCENT_M2022_automatique_PREMIER_MAIN____57093928.htm,HYUNDAI ACCENT M2022 automatique PREMIER MAIN ✋️,Demander le prix,2022,Automatique,Diesel,95000,Hyundai,Accent,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/2_mars/voitures_d_occasion/Renault_Clio_Diesel_Manuelle_2022_%C3%A0_Casablanca_57198160.htm,Renault Clio Diesel Manuelle 2022 à Casablanca,158 000 DH,2022,Manuelle,Diesel,40000,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/HYUNDAI_TUCSON_M2022_PREMIER_MAIN____56528463.htm,HYUNDAI TUCSON M2022 PREMIER MAIN ✋️,Demander le prix,2022,Automatique,Diesel,216800,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/abbadi/voitures_d_occasion/Dacia_Logan_57325950.htm,Dacia Logan,113 000 DH,2021,Manuelle,Diesel,160000,Dacia,Logan,5,WW au Maroc,Oui,6 CV,Très bon
https://www.avito.ma/fr/amerchich/voitures_d_occasion/Land_Rover_Range_Rover_Sport_Diesel_Automatique_57317970.htm,Land Rover Range Rover Sport Diesel Automatique,350 000 DH,2016,Automatique,Diesel,120000,Land Rover,Range Rover Sport,5,WW au Maroc,Oui,12 CV,Très bon
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Peugeot_57335157.htm,Peugeot,123 000 DH,2016,Manuelle,Diesel,162000,Peugeot,Partner,5,WW au Maroc,Non,7 CV,Très bon
https://www.avito.ma/fr/2_mars/voitures_d_occasion/Land_rover_discovery_sport_2021_56495609.htm,Land rover discovery sport 2021,335 000 DH,2021,Automatique,Diesel,75000,Land Rover,Discovery Sport,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/al_fida/voitures_d_occasion/Land_Rover_Range_Rover_Evoque_57249345.htm,Land-Rover Range Rover Evoque,235 000 DH,2019,Automatique,Diesel,113800,Land Rover,Range Rover Evoque,5,WW au Maroc,Oui,8 CV,Très bon
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Nissan_Qashqai_Essence_Automatique_2023_57115190.htm,Nissan Qashqai Essence Automatique 2023,220 000 DH,2023,Automatique,Essence,90000,Nissan,Qashqai,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/RANGE_ROVER_VELAR_M2020_56944416.htm,RANGE ROVER VELAR M2020,Demander le prix,2020,Automatique,Diesel,160000,Land Rover,Range Rover Velar,5,WW au Maroc,Non,8 CV,Excellent
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/VOLKSWAGEN_TIGUAN_M2020_56387968.htm,VOLKSWAGEN TIGUAN M2020,Demander le prix,2020,Automatique,Diesel,250000,Volkswagen,Tiguan,5,WW au Maroc,Non,8 CV,Excellent
https://www.avito.ma/fr/hay_fath/voitures_d_occasion/Renault_Captur_intens_Diesel_Manuelle_2013_%C3%A0_Oujda_57147324.htm,Renault Captur intens Diesel Manuelle 2013 à Oujda,130 000 DH,2013,Manuelle,Diesel,150000,Renault,Captur,5,Importée neuve,Non,6 CV,Excellent
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Renault_Clio_4_Modele_Ww_Maroc_78000km_Diesel_57048344.htm,Renault Clio 4 Modele Ww Maroc 78000km Diesel,105 000 DH,2013,Manuelle,Diesel,75000,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent
